id|Commune|Latitude|Longitude
26691539|Vélizy-Villacoublay|48.7809496|2.1900052
26691540|Étaples|50.5139552|1.6386252
26691541|Villefontaine|45.6140030|5.1580574
26691542|Conflans-Sainte-Honorine|48.9938791|2.0949768
26691543|Lognes|48.8384157|2.6327220
26691544|Sorgues|44.0066403|4.8725016
26691545|Manosque|43.8338026|5.7826657
26691547|Bailleul|50.7396668|2.7349286
26691548|Mennecy|48.5666645|2.4347044
26691549|Montbrison|45.6072875|4.0627318
26691551|Châteauroux|46.8047000|1.6957099
26691553|Saint-Leu-la-Forêt|49.0212001|2.2480799
26691555|Saint-Étienne-du-Rouvray|49.3831000|1.0916300
26691558|Roanne|46.0345572|4.0729178
26691560|Savigny-sur-Orge|48.6794572|2.3458417
26691563|Moulins|46.5660526|3.3331703
26691565|Avrillé|47.5045657|-0.5956539
26691568|Le Vésinet|48.8942540|2.1347291
26691570|Maisons-Alfort|48.8012045|2.4309703
26691573|Grande-Synthe|51.0134813|2.3029972
26691576|Orsay|48.6991840|2.1874570
26691579|Le Portel|50.7074811|1.5736655
26691580|Bry-sur-Marne|48.8352872|2.5193322
26691581|Carquefou|47.2971979|-1.4921233
26691583|Quimper|47.9960325|-4.1024782
26691584|Enghien-les-Bains|48.9699732|2.3068482
26691585|Aulnay-sous-Bois|48.9342310|2.4997890
26691586|Nanterre|48.8924273|2.2071267
26691587|Vichy|46.1239268|3.4203712
26691588|Guyancourt|48.7709414|2.0706084
26691589|Albert|50.0018022|2.6509223
26691590|Freyming-Merlebach|49.1469437|6.8184829
26691591|Mont-Saint-Aignan|49.4679000|1.0813000
26691592|Épinay-sur-Seine|48.9525181|2.3145039
26691595|Verdun|49.1589278|5.3867277
26691596|Les Ulis|48.6817080|2.1701573
26691597|Ozoir-la-Ferrière|48.7620904|2.6719421
26691598|Comines|50.7653265|3.0066319
26691599|Guéret|46.1689521|1.8715763
26691600|Berck|50.4052576|1.5711617
26691601|Longwy|49.5145564|5.7679082
26691602|Brie-Comte-Robert|48.6904522|2.6166737
26691603|Rombas|49.2515048|6.0938369
26691604|Villiers-le-Bel|49.0074999|2.3880847
26691605|Pontault-Combault|48.8009132|2.6068064
26691607|Carvin|50.4934145|2.9577519
26691610|Chevilly-Larue|48.7714153|2.3469255
26691613|Cugnaux|43.5369936|1.3457537
26691619|Talant|47.3359617|5.0047641
26691620|Ambarès-et-Lagrave|44.9259011|-0.4881846
26691621|Les Lilas|48.8795658|2.4157960
26691622|Morangis|48.7022956|2.3367599
26691623|Draveil|48.6851514|2.4083576
26691624|Kingersheim|47.7923002|7.3386856
26691625|Faches-Thumesnil|50.6026031|3.0697877
26691627|Deuil-la-Barre|48.9756423|2.3275141
26691629|Sanary-sur-Mer|43.1177238|5.8008839
26691631|Jarville-la-Malgrange|48.6735375|6.2023462
26691633|Castres|43.6053809|2.2411289
26691636|Port-de-Bouc|43.4030980|4.9806998
26691638|Auxerre|47.7961287|3.5705790
26691640|Tremblay-en-France|48.9802035|2.5589558
26691643|Alès|44.1253665|4.0852818
26691645|Limeil-Brévannes|48.7489857|2.4809129
26691648|Villemomble|48.8818860|2.5076181
26691651|Saintes|45.7460663|-0.6300671
26691656|Montesson|48.9076421|2.1492681
26691659|Hautmont|50.2513704|3.9200611
26691662|Les Pavillons-sous-Bois|48.9082988|2.5034999
26691670|Villeneuve-le-Roi|48.7350308|2.4077003
26691672|Montigny-le-Bretonneux|48.7698937|2.0381228
26691675|Seynod|45.8880398|6.0992785
26691678|Vaires-sur-Marne|48.8733776|2.6396951
26691681|Ostwald|48.5425109|7.7102193
26691683|Rognac|43.4872341|5.2342903
26691686|Bron|45.7337532|4.9092352
26691689|Persan|49.1512109|2.2765575
26691691|Argentan|48.7428900|-0.0223386
26691694|La Rochelle|46.1591126|-1.1520434
26691701|Bouc-Bel-Air|43.4511819|5.4127848
26691704|Lorient|47.7477336|-3.3660907
26691706|Décines-Charpieu|45.7736060|4.9633314
26691707|Vaulx-en-Velin|45.7784255|4.9206153
26691709|Arles|43.6776223|4.6309653
26691710|Sainte-Foy-lès-Lyon|45.7362255|4.7934767
26691711|Miramas|43.5827330|5.0025809
26691712|Rumilly|45.8672156|5.9425679
26691713|Bois-Colombes|48.9148269|2.2674892
26691715|La Garenne-Colombes|48.9069349|2.2465748
26691716|Hem|50.6540895|3.1839429
26691717|Fontaine|45.1950183|5.6869624
26691719|Montmorency|48.9891693|2.3197111
26691720|Cernay|47.8086824|7.1787669
26691722|Rosny-sous-Bois|48.8716626|2.4875193
26691725|Blagnac|43.6434000|1.3779900
26691728|Châtillon|48.7997756|2.2897124
26691730|Sarreguemines|49.1094836|7.0708865
26691734|Givors|45.5844238|4.7696529
26691737|Fontenay-le-Fleury|48.8106578|2.0461549
26691742|Plaisance-du-Touch|43.5653012|1.2978343
26691743|Lunel|43.6745265|4.1348062
26691744|Villers-lès-Nancy|48.6731344|6.1536378
26691745|Sannois|48.9717267|2.2568296
26691746|Castelnau-le-Lez|43.6393171|3.9133311
26691747|Isbergues|50.6245173|2.4516565
26691748|Saint-Brice-sous-Forêt|48.9973824|2.3568948
26691749|Le Creusot|46.8054064|4.4285961
26691751|Cosne-Cours-sur-Loire|47.4112642|2.9260320
26691753|Longuenesse|50.7371000|2.2483300
26691757|Tassin-la-Demi-Lune|45.7598386|4.7657747
26691759|Yvetot|49.6179384|0.7538866
26691760|Vitry-sur-Seine|48.7876000|2.3916400
26691761|Neuilly-sur-Seine|48.8846830|2.2695658
26691762|Tinqueux|49.2479000|3.9860100
26691763|Sallanches|45.9361246|6.6302551
26691764|Meudon|48.8126688|2.2385432
26691765|Thiers|45.8557950|3.5489707
26691766|Creutzwald|49.2052869|6.6963095
26691767|Harnes|50.4474100|2.9068246
26691768|Lattes|43.5653993|3.9017114
26691769|Poitiers|46.5802596|0.3401960
26691773|Saint-Saulve|50.3710165|3.5547336
26691774|Vierzon|47.2217489|2.0691421
26691775|Joinville-le-Pont|48.8183717|2.4668077
26691776|Fréjus|43.4330308|6.7360182
26691777|Mayenne|48.3044218|-0.6179871
26691778|Noisy-le-Grand|48.8492238|2.5524906
26691780|Châteaurenard|43.8820448|4.8556800
26691781|Bressuire|46.8425572|-0.4929017
26691782|Wasquehal|50.6691577|3.1312447
26691783|Saint-Cyr-l'École|48.7997080|2.0672138
26691784|Audincourt|47.4819786|6.8413684
26691786|Saint-Dizier|48.6371125|4.9473513
26691790|Gravelines|50.9870697|2.1273118
26691791|Roncq|50.7531232|3.1209016
26691792|Oignies|50.4643000|2.9938700
26691793|Aubergenville|48.9591392|1.8554319
26691794|Bourg-la-Reine|48.7795178|2.3160850
26691795|Wittenheim|47.8080799|7.3373681
26691796|Cluses|46.0603171|6.5804218
26691797|Annemasse|46.1934005|6.2341093
26691798|Langres|47.8639612|5.3339470
26691799|La Celle-Saint-Cloud|48.8478753|2.1361450
26691800|Marmande|44.5007939|0.1642740
26691801|Dole|47.0921047|5.4925463
26691805|Malakoff|48.8211559|2.3019814
26691807|Saint-Mandé|48.8432434|2.4159739
26691809|Soyaux|45.6416235|0.1925878
26691812|Le Bourget|48.9351403|2.4258354
26691814|Ploufragan|48.4893432|-2.7933133
26691817|Vandœuvre-lès-Nancy|48.6599676|6.1724618
26691819|Mantes-la-Ville|48.9748938|1.7109449
26691820|Fougères|48.3503362|-1.1958526
